Time (s),anat_pos_1,anat_pos_2,anat_pos_3,anat_pos_4,anat_pos_5,robo_pos_1,robo_pos_2,robo_pos_3,robo_pos_4,robo_pos_5,anat_vel_1,anat_vel_2,anat_vel_3,anat_vel_4,anat_vel_5,robo_vel_1,robo_vel_2,robo_vel_3,robo_vel_4,robo_vel_5
0.1658,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.167503,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.168149,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.169149,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.170151,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.17115,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.172169,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.173153,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.174154,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.175154,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.176156,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.178146,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
